,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
764,NessaV81,Marketing Director- Jedi-Gunter -Dog lover 🌹 🇵🇷,Boston MA,4052,769,11780,0,Got my second dose! #modernavaccine #COVID19Vaccine https://t.co/gLwaxe35rW,"['modernavaccine', 'COVID19Vaccine']",2021-02-26 17:43:23
765,StJudeResearch,"St. Jude Children’s Research Hospital: a leader in research & treatment of pediatric cancer, other childhood diseases #BestHospitals #StJudeResearch #WearAMask","Memphis, Tenn.",1854,26902,6391,5,The Johnson &amp; Johnson COVID-19 vaccine may soon be available in the United States. Infectious diseases expert Dr. Stacey Schultz-Cherry provides insight to @joepalca at @NPR. https://t.co/EBVWEiVkfR @SSCLabQuips #COVID19Vaccine https://t.co/pFRdwd1Lnd,['COVID19Vaccine'],2021-02-26 17:43:10
766,BethBethhill14,,,1941,301,3510,0,@SaralayaD @docjohnwright Is there any indication how soon we may hear more details on the #Novavax #COVID19Vaccine crossover trial please? 💉🦠,"['Novavax', 'COVID19Vaccine']",2021-02-26 17:42:50
767,Loneninja013,Invisible seeker of knowledge and insight. Beware. My content is for an adult. Begone youth. 18+ only. You are not welcome. You don’t see me. I’m not here.,On the celing,1012,236,11556,0,So a hour into the vaccination all seems well. Guess it was all all all all all jjjjjjjjjjjjjjjjjjjjjjjjjjjust in poeopeeepols heaads. I’m finnnnnnnnnnnnnnnnne 🤪👍#COVID19Vaccine but for real. Get yours. 😁 https://t.co/bcJHk7IpQQ,['COVID19Vaccine'],2021-02-26 17:42:23
768,ldhambly,,,116,7,373,0,@theRCLblog I’ve booked 6 cruises in the next 18 months and still have credit for one more! I should’ve got refunds from RCCL but I was forced to take credit for flights so figured we might as well have cruises to fly too. #COVID19Vaccine #FirstWorldProblems,"['COVID19Vaccine', 'FirstWorldProblems']",2021-02-26 17:42:18
769,motherwellrules,Malcolm Tucker is my hero.,Nowhere near Motherwell,535,596,832,0,"@grassinthesnake @rossmcbeth1 @scotgov Several friends in England in group 7 are booking their appointments now. Meanwhile here in Scotland-deadly silence, no appointments offered even to those in group 6 #COVID19Vaccine #SlowScotland #Whyarewewaiting","['COVID19Vaccine', 'SlowScotland', 'Whyarewewaiting']",2021-02-26 17:42:17
770,JanetLPirrie,"Mum. Glaswegian living in the Midlands. Was a teacher, now just chilling with my hubby and my puppy & trying to make the most of life","Leicestershire, UK",1939,2052,10709,0,Pretty impressed by the efficiency of the #COVID19Vaccine  centre at Leicester Racecourse! 👏🏻👏🏻👏🏻 #hadmyvaccine,"['COVID19Vaccine', 'hadmyvaccine']",2021-02-26 17:42:15
771,Stag_RosePPG,PPG - Group that supports both patients and staff to ensure the best health care,"Rotherham, England",1738,491,4755,0,"Well said @DrAmirKhanGP 
If you are able, take up the offer of your #COVID19Vaccine appointment. Protect yourself, your loved ones and the community you live in.
Follow the #Lockdown guidelines, have your #Vaccine.
#TogetherWeAreStronger #StayConnected #MaskUp #HandsFaceSpace https://t.co/aB2W5hPmdj https://t.co/y6ZfD1SqIb","['COVID19Vaccine', 'Lockdown', 'Vaccine', 'TogetherWeAreStronger', 'StayConnected', 'MaskUp', 'HandsFaceSpace']",2021-02-26 17:42:03
772,BazeeraFathima,"Diet/Counsellor/Admin- MV Diabetes Centre/Signature Events/
Member-   Indian Dietetic Association
V - Force Volunteer- UNV India","India, UAE",53,65,4169,0,"Vaccinations, I am still not sure about that. But I have to try that too. They have already started to give them. But not yet with elderly adults and vulnerable. #COVID19Vaccine",['COVID19Vaccine'],2021-02-26 17:41:59
773,Healthunchaind,"Health Unchained Podcast - Your source for #healthcare and #blockchain news and updates.
🎙️⛓⚕️📡👨🏻‍💻 🤝👩‍⚕️🔑💊🧬🏥","Boston, MA",1387,486,1077,0,"Listen to the full episode with @ainaaviksoo Chief Medical Officer at @Guardtime

#vaccine #passport #COVID19Vaccine #COVID19 #Estonia #security #privacy #blockchain https://t.co/qRi7uhUFAe","['vaccine', 'passport', 'COVID19Vaccine', 'COVID19', 'Estonia', 'security', 'privacy', 'blockchain']",2021-02-26 17:41:55
774,Redneckbc,,,46,4,37,0,@davidakin @JustinTrudeau Believe it when you see it. Still leaves 29 million Canadians at risk. #COVID19Vaccine,['COVID19Vaccine'],2021-02-26 17:41:41
775,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,3,"#VaccineConfidence ACG members taking action in visible way on #GItwitter to build trust #COVIDvaccine &amp; fight myths w/ facts #1Fact1Myth

🦾Giving strong recommendation #GetVaccinated
#RoleModel #MyCOVIDvax #IGotTheShot #COVID19vaccine #StickItToCOVID 
➡️https://t.co/oDhUudwNjd https://t.co/dULWM9qEyf","['VaccineConfidence', 'GItwitter', 'COVIDvaccine', '1Fact1Myth', 'GetVaccinated', 'RoleModel', 'MyCOVIDvax', 'IGotTheShot', 'COVID19vaccine', 'StickItToCOVID']",2021-02-26 17:41:36
776,Nattalyee,"#Beautiful #Black #Broadway #NYC #LiveLetLive If you faint in the day of adversity, your strength is small. Prov 24:10 https://t.co/mldgutdhfe",New York City,528,1156,37951,0,"I wish I could say this was such an amazing day yesterday, but it was quite traumatizing. The nurse who gave me my #COVID19Vaccine was very unprofessional. She talked down to her other black co workers. It wasn’t until I broke down crying that she became “helpful”. 1/3 https://t.co/7SLoNx5LW6",['COVID19Vaccine'],2021-02-26 17:41:34
777,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,7,"To boost #COVIDvaccine #VaccineConfidence 
it's essential for #RoleModel to share experience of #COVID19vaccine #MyCOVIDvax

🏆#GIcommunity shows patients &amp; the public #IGotTheShot

➡️https://t.co/oDhUudwNjd for #Fact1Myth  #MythBusters  #GetVaccinated💉#StickItToCOVID #GItwitter https://t.co/MTE6np0wmE","['COVIDvaccine', 'VaccineConfidence', 'RoleModel', 'COVID19vaccine', 'MyCOVIDvax', 'GIcommunity', 'IGotTheShot', 'Fact1Myth', 'MythBusters', 'GetVaccinated', 'StickItToCOVID', 'GItwitter']",2021-02-26 17:41:32
778,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,2,"#Goals #StickItToCOVID
⬆️#VaccineConfidence 
⬆️#COVIDvaccine acceptance among GI &amp; liver patients
💉#GetVaccinated urge patients to take action when vaccines are available to them
✔️#GIcommunity =trusted messengers of #COVID19vaccine info
➡️https://t.co/oDhUudwNjd for #1Fact1Myth https://t.co/ihlWCqxY66","['Goals', 'StickItToCOVID', 'VaccineConfidence', 'COVIDvaccine', 'GetVaccinated', 'GIcommunity', 'COVID19vaccine', '1Fact1Myth']",2021-02-26 17:41:28
779,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,2,"#1Fact1Myth #VaccineConfidence 
ACG is proud that our members use #GItwitter to positively influence #COVIDvaccine decisions of peers, patients, friends, &amp; family #RoleModel #IGotTheShot

➡️https://t.co/oDhUudwNjd

#MyCOVIDvax  #COVID19vaccine #GetVaccinated  #StickItToCOVID https://t.co/BOU7IaBLSz","['1Fact1Myth', 'VaccineConfidence', 'GItwitter', 'COVIDvaccine', 'RoleModel', 'IGotTheShot', 'MyCOVIDvax', 'COVID19vaccine', 'GetVaccinated', 'StickItToCOVID']",2021-02-26 17:41:25
780,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,0,"What can #GIcommunity do to end #COVID19?
🏆Become champions of #COVIDvaccine #COVID19vaccine Dr. Caldera &amp; Dr. Farraye write in ACG Magazine! 
➡️empathetic &amp; effective conversations
➡️address myths #1Fact1Myth
https://t.co/2mnSZPAegs https://t.co/jTkxqARvyV","['GIcommunity', 'COVID19', 'COVIDvaccine', 'COVID19vaccine', '1Fact1Myth']",2021-02-26 17:41:14
781,AmCollegeGastro,"The American College of Gastroenterology has a membership of more than 16,000 individuals dedicated to advancing gastroenterology and improving patient care.","Bethesda, MD",2665,23560,14715,0,"ACG President Dr. David Greenwald writes eloquently about his #COVID19vaccine experience 
and urges #GIcommunity to ""Meet Fear w/ Facts"" #1Fact1Myth

➡️https://t.co/Y2mOVRx6sK

#VaccineConfidence #GItwitter #MyCOVIDvax #GetVaccinated #StickItToCOVID https://t.co/ggPeZPkv5v","['COVID19vaccine', 'GIcommunity', '1Fact1Myth', 'VaccineConfidence', 'GItwitter', 'MyCOVIDvax', 'GetVaccinated', 'StickItToCOVID']",2021-02-26 17:41:09
782,KelseysBees,I’m a southern Belle with attitude. I make beaded jewelry bracelet’s check out my shop below 👇🏻💖,"Tennessee, USA",224,292,4200,0,"Update on second #COVID19Vaccine  no fever. Just feel really achy from head to toe, feeling sleepy.  Still feeling really blessed I was able to get my ￼ vaccines 💉 💕✨",['COVID19Vaccine'],2021-02-26 17:40:41
783,DocSchmadia,"Family Doc, Anesthetist, Mom of 4. Past-President @OntariosDoctors. Masters in Health Econ, Policy & Mgmt from LSE. Tweets are what I see, learn & do.","Halton Hills, Ontario",2979,11653,32093,4,"In some neighborhoods, more people in their 50s died of #COVID19 than people in their 80s in other neighborhoods.

This is something the #Ontario #covid19vaccine strategy does not consider... and it should. Especially if we want to save lives.
#Equity https://t.co/ulIPeVx6Zo","['COVID19', 'Ontario', 'covid19vaccine', 'Equity']",2021-02-26 17:40:39
784,chriscelfo,"Independent musician and recording artist/composer, Stay tuned for the March 2021 Release of #QUARANTINA""","East Coast, United States",917,914,209,0,"Wow, good song. Please stream for COVID awareness!! #COVID19 #COVID19Vaccine https://t.co/r8BL8Ruq40","['COVID19', 'COVID19Vaccine']",2021-02-26 17:40:29
785,ChantelMod,"Earth (2019)- I need help here!
People - i'm busy....
Earth (2020) - I did warn you.",Planet Earth,60,20,535,1,Johnathan Van Tam talking sense. People go mad when the 🌝 comes out 👏🏾 #briefing #COVID19Vaccine #COVID19,"['briefing', 'COVID19Vaccine', 'COVID19']",2021-02-26 17:40:23
